Date,Open,High,Low,Close,Adj Close,Volume
2010-06-28,75.800003,76.550003,69.779999,71.410004,66.774437,24377400
2010-07-05,72.230003,74.440002,70.059998,74.220001,69.402023,17304700
2010-07-12,75.209999,79.120003,73.580002,74.610001,69.766716,20349800
2010-07-19,74.910004,79.000000,73.260002,78.959999,73.834343,14852900
2010-07-26,82.260002,84.239998,80.669998,82.550003,77.191292,18250400
2010-08-02,83.900002,86.089996,82.750000,85.320000,79.781502,12434600
2010-08-09,85.559998,87.739998,80.779999,80.800003,75.554901,14420200
2010-08-16,80.180000,84.550003,79.879997,81.230003,75.956978,12514900
2010-08-23,82.269997,83.269997,77.250000,80.459999,75.236946,12617200
2010-08-30,79.669998,84.120003,77.339996,82.750000,77.378288,12765000
2010-09-06,82.239998,85.860001,81.330002,84.160004,78.696754,7105700
2010-09-13,85.250000,86.349998,81.800003,82.279999,77.051582,18442800
2010-09-20,82.570000,85.080002,82.089996,84.230003,78.877686,14917000
2010-09-27,84.610001,88.459999,82.760002,85.639999,80.198097,18546200
2010-10-04,85.529999,88.930000,84.739998,88.690002,83.054291,14948100
2010-10-11,88.959999,90.629997,86.550003,89.620003,83.925201,10519500
2010-10-18,89.449997,89.900002,86.430000,88.860001,83.213501,10084400
2010-10-25,89.389999,90.300003,86.699997,87.720001,82.145927,11231000
2010-11-01,87.690002,90.550003,85.839996,90.000000,84.281029,13611900
2010-11-08,89.180000,90.650002,86.769997,87.320000,81.771339,9160400
2010-11-15,87.680000,88.250000,84.489998,86.790001,81.275017,10355100
2010-11-22,86.500000,88.599998,85.809998,87.500000,82.054901,6519800
2010-11-29,89.000000,96.230003,88.470001,95.000000,89.088150,17391900
2010-12-06,94.529999,94.669998,92.099998,93.980003,88.131645,11154100
2010-12-13,94.900002,95.190002,91.279999,93.070000,87.278275,16589000
2010-12-20,93.809998,94.489998,92.570000,93.010002,87.222000,5278700
2010-12-27,92.489998,93.410004,92.410004,93.010002,87.222000,4087600
