Date,Open,High,Low,Close,Adj Close,Volume
2010-06-28,25.365000,25.690001,24.735001,25.025000,17.916498,111262800
2010-07-05,25.295000,26.245001,25.010000,26.200001,18.757734,76328800
2010-07-12,26.080000,26.540001,25.975000,26.184999,18.746996,71404000
2010-07-19,26.270000,27.415001,25.959999,27.375000,19.598967,104139800
2010-07-26,27.415001,27.655001,27.215000,27.555000,19.727835,79131200
2010-08-02,27.910000,28.395000,27.825001,28.375000,20.314907,92683400
2010-08-09,28.184999,28.700001,27.674999,27.865000,19.949785,92098600
2010-08-16,27.754999,28.209999,27.459999,27.650000,19.795845,86680400
2010-08-23,27.754999,28.100000,27.485001,28.080000,20.103708,89943200
2010-08-30,28.100000,28.799999,27.500000,28.780001,20.604870,82520400
2010-09-06,28.760000,29.320000,28.700001,29.260000,20.948523,69323200
2010-09-13,29.240000,29.250000,28.610001,28.780001,20.604870,92952400
2010-09-20,28.809999,29.400000,28.775000,29.309999,21.304693,70500200
2010-09-27,29.375000,29.620001,29.125000,29.559999,21.486408,78474400
2010-10-04,29.465000,29.905001,29.275000,29.705000,21.591806,76860400
2010-10-11,29.780001,29.990000,29.665001,29.969999,21.784424,87361600
2010-10-18,29.905001,30.875000,29.900000,30.805000,22.391369,119913600
2010-10-25,30.645000,30.875000,30.150000,30.660000,22.285971,86533000
2010-11-01,30.684999,31.325001,30.605000,31.290001,22.743902,90381000
2010-11-08,31.250000,31.480000,31.150000,31.459999,22.867476,82070000
2010-11-15,31.445000,32.165001,30.910000,32.160000,23.376282,145518400
2010-11-22,32.029999,32.314999,31.639999,32.055000,23.299959,76452600
2010-11-29,31.775000,32.480000,31.434999,32.250000,23.441702,110351400
2010-12-06,32.185001,32.455002,31.995001,32.325001,23.823221,97694600
2010-12-13,32.195000,32.875000,31.850000,32.849998,24.210142,130923200
2010-12-20,32.730000,32.939999,32.514999,32.790001,24.165928,65475000
2010-12-27,32.775002,32.900002,32.529999,32.884998,24.235933,48591800
2011-01-03,32.939999,32.939999,31.280001,31.459999,23.185730,119570200
2011-01-10,31.350000,31.930000,31.280001,31.565001,23.263113,75210800
2011-01-17,31.605000,31.959999,31.360001,31.385000,23.130455,71959000
2011-01-24,31.434999,31.655001,31.070000,31.105000,22.924097,84278400
2011-01-31,31.160000,31.740000,30.945000,31.280001,23.053068,69713000
2011-02-07,31.334999,32.375000,31.160000,31.785000,23.425249,92499600
2011-02-14,31.834999,32.360001,31.275000,32.275002,23.786373,84507600
2011-02-21,31.680000,32.200001,31.665001,32.154999,23.697935,64634800
2011-02-28,32.084999,32.939999,31.930000,32.605000,24.029579,123286600
2011-03-07,32.660000,32.919998,32.235001,32.404999,23.882189,88935000
2011-03-14,32.169998,32.305000,30.645000,31.350000,23.442165,118962800
2011-03-21,31.565001,32.695000,31.525000,32.610001,24.384342,59659200
